RANK,PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-
37,DeMar DeRozan,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,Bam Adebayo,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,Pascal Siakam,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,Buddy Hield,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,Jordan Clarkson,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,Karl-Anthony Towns,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,Bojan Bogdanovic,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,Jimmy Butler,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,Fred VanVleet,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,Ja Morant,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,Dillon Brooks,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,Tim Hardaway Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,Gordon Hayward,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,John Collins,,,,,,,,,,,,,,,,,,,,,,,,,,,,
